--- Sequencial ---
[grad06:06013] mca: base: component_find: unable to open /usr/local/openmpi/openmpi-1.4.5/lib/openmpi/mca_btl_openib: perhaps a missing symbol, or compiled for a different version of Open MPI? (ignored)
1000000 2.188823
2000000 4.307514
3000000 7.121669
4000000 8.544477
5000000 11.191263
6000000 14.214524
7000000 14.784046
8000000 17.071815
9000000 19.635016
10000000 22.378416
